release,classifier,parameters,feature_type,technique,val_auc,accuracy,precision,recall,gmean,auc,f1,mcc,recall_u,gmean_pu,val_time,train_time,pred_time,recall_o,precision_o,fpr,fpr_o
64,ocsvm,{'nu': 0.15193434820522567},bert,oneclass,0.08,0.764,0.011,0.667,0.086,0.0,0.022,0.076,0.605,1.93,0.002,0.001,0.033,0.6082474226804123,0.05460434983803795,0.22865396961266848,0.22235524597300826
72,ocsvm,{'nu': 0.1878955193048339},bert,oneclass,0.024,0.888,0.002,0.667,0.036,0.0,0.004,0.016,0.175,4.174,0.002,0.0,0.03,0.19696969696969696,0.012633624878522837,0.10631469979296071,0.10586641658851725
71,ocsvm,{'nu': 0.36626497696389115},bert,oneclass,0.037,0.932,0.02,0.293,0.076,0.0,0.037,0.069,0.333,1.376,0.001,0.001,0.059,0.3125,0.04991680532445923,0.06126482213438733,0.059734281828643154
66,ocsvm,{'nu': 0.011271662653605422},bert,oneclass,0.046,0.638,0.008,0.8,0.081,0.0,0.016,0.069,0.797,1.77,0.001,0.001,0.035,0.7972972972972973,0.03456356180433509,0.359906462585034,0.3545992469069392
67,ocsvm,{'nu': 0.0917306586363432},bert,oneclass,0.037,0.415,0.003,0.85,0.051,0.0,0.006,0.039,0.876,1.237,0.002,0.001,0.049,0.8689655172413793,0.022764227642276424,0.5835448392554992,0.5796806344443254
68,ocsvm,{'nu': 0.5},bert,oneclass,0.042,0.798,0.008,0.357,0.054,0.0,0.016,0.034,0.356,0.656,0.001,0.001,0.158,0.36496350364963503,0.02704164413196322,0.19360287131848408,0.19183194711025808
70,ocsvm,{'nu': 0.19731349046505883},bert,oneclass,0.032,0.498,0.001,0.75,0.022,0.0,0.001,0.026,0.769,1.125,0.002,0.001,0.067,0.7682926829268293,0.013073251711973438,0.499740583169036,0.49754158384768277
69,ocsvm,{'nu': 0.48498501622883516},bert,oneclass,0.085,0.887,0.012,0.6,0.084,0.0,0.023,0.074,0.422,3.355,0.002,0.001,0.081,0.44537815126050423,0.05140640155189137,0.10627868168544008,0.10306670882073976
63,ocsvm,{'nu': 0.05741537113331383},bert,oneclass,0.035,0.672,0.014,0.843,0.109,0.0,0.028,0.091,0.759,2.17,0.002,0.001,0.07,0.7777777777777778,0.05254569190600522,0.3247339567881329,0.3173718158959221
65,ocsvm,{'nu': 0.1069572162284598},bert,oneclass,0.054,0.491,0.01,0.852,0.09,0.0,0.019,0.063,0.862,1.421,0.001,0.001,0.068,0.8601036269430051,0.034626616604088445,0.508786969567081,0.5034265201783966
82,ocsvm,{'nu': 0.011271662653605422},bert,oneclass,0.046,0.812,0.005,0.6,0.054,0.0,0.01,0.041,0.0,1.909,0.002,0.0,0.035,0.6,0.004942339373970346,0.18790832728404028,0.18790832728404028
74,ocsvm,{'nu': 0.5},bert,oneclass,0.017,0.978,0.0,0.0,0.0,0.0,0.0,0.005,0.035,0.0,0.001,0.0,0.028,0.03333333333333333,0.0125,0.016477857878475777,0.016367968507199793
76,ocsvm,{'nu': 0.011271662653605422},bert,oneclass,0.0,0.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.002,0.0,0.018,0.0,0.0,0.0,0.0
75,ocsvm,{'nu': 0.5},bert,oneclass,0.019,0.78,0.0,0.0,0.0,0.0,0.0,0.014,0.408,0.0,0.002,0.001,0.055,0.38461538461538464,0.009442870632672332,0.21711942593541778,0.21615495569750665
77,ocsvm,{'nu': 0.001},bert,oneclass,0.0,0.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.002,0.0,0.017,0.0,0.0,0.0,0.0
81,ocsvm,{'nu': 0.37047340638697746},bert,oneclass,0.058,0.853,0.002,0.429,0.03,0.0,0.004,0.018,0.273,1.255,0.001,0.001,0.029,0.3333333333333333,0.00425531914893617,0.14610591900311531,0.1459611186193991
78,ocsvm,{'nu': 0.3989307886362199},bert,oneclass,0.026,0.806,0.0,0.0,0.0,0.0,0.0,0.024,0.63,0.0,0.003,0.001,0.071,0.5483870967741935,0.008985200845665961,0.19227642276422763,0.19107306634056864
79,ocsvm,{'nu': 0.5},bert,oneclass,0.006,0.856,0.006,0.346,0.047,0.0,0.013,0.028,0.214,0.84,0.001,0.0,0.033,0.3157894736842105,0.008540925266903915,0.14211544334724624,0.14198348792172055
73,ocsvm,{'nu': 0.4963023480909885},bert,oneclass,0.037,0.814,0.003,0.462,0.04,0.0,0.007,0.033,0.46,1.164,0.002,0.001,0.099,0.45901639344262296,0.015792442188381276,0.1825979125762116,0.1812233876830408
74,rf,"{'max_depth': 3, 'max_leaf_nodes': 400, 'n_estimators': 400, 'max_features': 'auto'}",bert,regularize,-1.0,0.748,0.0,0.0,0.0,0.311,0.0,0.035,0.684,0.0,2243.909,12.768,0.226,0.65,0.016055990119390694,0.25015447991761075,0.24759142235574427
